state,total_evcs,fast_chargers,slow_chargers,fast_charger_ratio
Karnataka,6097,751,5346,0.123
Maharashtra,4166,1205,2961,0.289
Uttar Pradesh,2326,540,1786,0.232
Delhi,1967,399,1568,0.203
Tamil Nadu,1781,926,855,0.52
Rajasthan,1531,523,1008,0.342
Kerala,1392,553,839,0.397
Gujarat,1208,578,630,0.478
Madhya Pradesh,1147,353,794,0.308
Telangana,1066,548,518,0.514
Haryana,935,384,551,0.411
West Bengal,903,321,582,0.355
Andhra Pradesh,793,424,369,0.535
Punjab,717,225,492,0.314
Odisha,623,165,458,0.265
Bihar,521,172,349,0.33
Jharkhand,353,129,224,0.365
Chhattisgarh,347,124,223,0.357
Assam,345,96,249,0.278
Uttarakhand,223,84,139,0.377
J & K,185,61,124,0.33
Goa,158,94,64,0.595
Himachal Pradesh,137,52,85,0.38
