Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_sales
3W,Volvo Group India Pvt Ltd,0,0,31,12,0,0,0,0,0,0,43
3W,3Ev Industries Pvt Ltd,0,0,0,0,0,0,112,390,545,51,1098
2W,3Gb Technology Pvt Ltd,0,0,0,1,0,0,0,0,0,0,1
3W,3Gb Technology Pvt Ltd,0,1,1,0,0,0,0,0,0,0,2
3W,3S Industries Private Limited,0,0,0,0,48,66,43,68,266,578,1069
LMV,3S Industries Private Limited,0,0,0,0,3,1,0,0,0,0,4
3W,A B Excavators & Earthmover Ltd,0,1,0,0,0,0,0,0,0,0,1
3W,A D Agro Works,0,0,2,1,0,0,0,0,0,0,3
3W,A K Autto Electrical,0,1,72,56,42,1,5,3,2,0,182
3W,A K Gupta & Co.,0,0,100,625,438,195,256,433,563,355,2965
3W,A P I Motors Pvt Ltd,0,0,0,2,28,14,20,93,279,146,582
LMV,A R T Welding Works,0,1,0,2,0,0,0,0,0,0,3
3W,A. K. Autto Electrical,0,0,0,0,0,1,0,0,0,0,1
3W,A.J Enterprises,0,0,0,0,0,0,0,0,0,66,66
3W,A.K.Auto Electrical,0,2,8,0,0,0,0,0,0,0,10
3W,A.R. Motor,0,0,0,0,0,0,0,0,0,164,164
3W,A.V.Automotives Pvt Ltd,0,0,33,280,452,256,677,1451,1309,674,5132
2W,A-1 Sureja Industries,0,0,0,0,0,0,0,0,0,2,2
3W,A3T Incorported,0,8,94,85,41,3,17,8,0,0,256
LMV,A3T Incorported,0,0,2,75,0,0,0,0,0,0,77
3W,Aadhya Enterprises,0,3,0,4,6,4,6,516,797,312,1648
LMV,Aadhya Enterprises,0,0,0,0,0,1,0,0,0,0,1
3W,Aaditya Emotors India Pvt Ltd,0,1,471,179,10,0,0,0,0,0,661
LMV,Aaditya Emotors India Pvt Ltd,0,0,2,6,0,0,0,0,0,0,8
3W,Aaditya Garbage Products Pvt Ltd,0,0,0,0,13,0,0,10,34,4,61
LMV,Aaditya Garbage Products Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Aahana Commerce Pvt Ltd,0,0,0,0,0,61,202,309,918,1194,2684
3W,Aakk Auto Pvt Ltd,0,0,0,0,0,0,0,0,0,16,16
3W,Aargee Electric,0,0,1,0,0,0,10,13,18,4,46
3W,Aashi India Automobiles Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Abhavis Technology (I) Pvt Ltd,0,0,1,0,0,0,0,0,0,0,1
LMV,Abirami Engineering Works,0,0,1,0,0,0,0,0,0,0,1
2W,Abzo Motors Pvt Ltd,0,0,0,0,0,0,0,0,12,48,60
3W,Accretion Power Autos,0,1,21,240,315,111,207,608,598,329,2430
2W,Action Construction Equipment Ltd.,0,1,0,0,0,0,0,0,0,0,1
3W,Action Construction Equipment Ltd.,0,0,4,0,0,0,0,0,0,0,4
LMV,Action Construction Equipment Ltd.,6,1,0,0,0,0,0,0,0,0,7
3W,Adapt Motors Pvt Ltd,0,0,0,0,6,2,1,3,4,1,17
LMV,Adapt Motors Pvt Ltd,0,0,0,0,0,0,0,0,0,1,1
3W,Adidev Technoa Pvt Ltd,0,0,0,0,8,14,34,168,689,927,1840
3W,Aditya Agro Industries,0,2,17,3,0,0,1,0,0,0,23
3W,Aditya Enterprises,0,0,0,0,1,0,5,3,1,0,10
3W,Aditya Sai Industries,0,39,187,176,296,75,53,129,179,152,1286
LMV,Aditya Sai Industries,0,0,2,2,0,0,0,0,0,0,4
3W,Adm Technologies Pvt. Ltd.,0,0,0,0,0,0,0,0,129,151,280
2W,Adris Electric Pvt Ltd,0,0,0,0,0,0,65,226,61,8,360
2W,Aftek Motors India Pvt Ltd,0,0,0,0,0,1,8,186,138,34,367
3W,Agrasen Engineering Works,0,1,0,0,0,0,0,0,0,0,1
3W,Agrawal Renewable Energy Pvt Ltd,0,0,0,0,2,2,1,1,0,2,8
3W,Agro Industries,0,0,1,0,0,0,0,0,0,0,1
LMV,Ahitesham Agro Engineering,0,0,2,0,0,0,0,0,0,0,2
2W,Ajay Engineering And Agricultural Equipment Co.,0,0,0,0,0,0,1,0,0,0,1
3W,Ajay Motors Private Limited,0,0,0,0,0,0,0,33,190,109,332
3W,Akash Agro Industries,0,0,0,0,1,0,0,0,0,0,1
LMV,Akash Trailor,0,0,0,1,0,0,0,0,0,0,1
3W,Akg International,0,0,0,0,0,0,0,0,138,1048,1186
3W,Aksmd Rechargeable Vehicles Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,Albedo Vision Pvt Ltd,0,0,0,15,6,15,0,14,39,4,93
MMV,All Terrain Crane,0,0,0,0,0,0,0,0,5,20,25
3W,Allentti Motors Pvt Ltd,0,0,0,0,0,0,0,0,59,131,190
3W,Allfine Industries Pvt Ltd,0,2,239,763,1737,1180,2370,5884,10743,6317,29235
LMV,Allfine Industries Pvt Ltd,0,0,0,0,0,0,0,0,8,0,8
3W,Altier Electric Vehicles Pvt Ltd,0,0,0,0,177,308,381,1626,2517,1804,6813
LMV,Altier Electric Vehicles Pvt Ltd,0,0,0,0,0,0,0,0,1,0,1
3W,Altigreen Propulsion Labs Pvt Ltd,0,0,0,0,0,3,144,699,2512,939,4297
LMV,Altigreen Propulsion Labs Pvt Ltd,0,0,0,0,0,0,2,0,7,6,15
2W,Altius Ev Tech Pvt Ltd,0,0,0,0,0,0,0,67,37,14,118
3W,Altius Technologies,0,32,7,0,79,30,29,9,13,7,206
3W,Al-Zahoor  Co,0,6,0,0,0,0,0,0,0,0,6
3W,Aman Automobiles,0,0,69,41,53,22,64,30,14,55,348
3W,Aman Electric Vehicles,0,80,114,69,20,15,63,39,162,327,889
3W,Amar Coach Builders,0,0,1,0,0,0,0,0,0,0,1
3W,Ambika Enterprises,0,0,0,0,0,25,113,92,145,55,430
3W,Ambika Industries,0,0,0,0,427,656,981,1159,1910,1060,6193
LMV,Amman Engineering Company,1,0,0,1,0,0,0,0,0,0,2
2W,Amo Mobility Solutions Pvt Ltd,0,0,0,0,0,0,0,1497,1574,80,3151
2W,Ampere Vehicles Private Limited,0,0,0,0,1196,4522,12470,79857,42903,857,141805
2W,Ampere Vehicles Pvt Ltd,31,0,0,0,6,153,315,2390,8,0,2903
3W,Ampere Vehicles Pvt Ltd,0,0,44,0,0,0,0,0,0,0,44
3W,Amw Motors Limited,0,0,1,0,0,0,0,0,0,0,1
LMV,Anbu Trailers,1,3,0,1,0,0,0,0,0,0,5
2W,Anchi Motorcycle  (Importer: Ecotrinity Automobile,0,0,0,0,0,0,0,6,51,22,79
2W,Anchi Motorcycle (Importer: Evnexus Pvt. Ltd.),0,0,0,0,0,0,0,0,8,3,11
2W,Anchi Motorcycle (Importer: Yed Electric),0,0,0,0,0,0,0,0,61,39,100
2W,Anchi Motorcycle (Importer:Hindustan Ev Motors),0,0,0,0,0,0,0,0,1,0,1
2W,Anchi Motorcycle(Importer:Green Fuel Alternatives),0,0,0,0,0,0,0,0,13,8,21
3W,Anjali Auto Components,0,0,0,0,0,23,11,21,61,22,138
3W,Anjali Enterprises,0,0,2,3,0,0,0,0,0,0,5
3W,Anjali Traders,0,0,0,75,118,122,79,75,74,53,596
LMV,Anjali Traders,0,0,0,1,0,0,0,0,0,0,1
3W,Ankush Auto Deals,0,15,72,505,287,51,111,2,5,0,1048
3W,Anoop Cylinders Pvt Ltd,0,0,0,0,0,0,0,0,0,8,8
LMV,Antony Trailors,1,8,2,0,0,0,0,0,0,0,11
3W,Aparna Agrico,0,0,25,5,0,0,0,0,0,0,30
3W,Aparna Industries,0,10,93,182,190,83,96,86,87,30,857
