Date,2W_total,3W_total,4W_total,Commercial_total,Total_EV
2001-01-01,62,2,16,10,90
2001-02-01,65,2,28,7,102
2001-03-01,75,2,26,9,112
2001-04-01,59,1,22,12,94
2001-05-01,69,2,17,14,102
2001-06-01,131,5,39,17,192
2001-07-01,117,2,31,12,162
2001-08-01,126,8,44,6,184
2001-09-01,119,6,40,54,219
2001-10-01,80,1,22,6,109
2001-11-01,96,3,28,14,141
2001-12-01,81,0,14,12,107
2002-01-01,11,2,16,269,298
2002-02-01,16,0,17,325,358
2002-03-01,6,1,31,883,921
2002-04-01,16,1,17,114,148
2002-05-01,20,4,23,121,168
2002-06-01,15,4,25,33,77
2002-07-01,19,3,19,26,67
2002-08-01,16,4,38,29,87
2002-09-01,13,6,23,28,70
2002-10-01,13,5,10,44,72
2002-11-01,12,4,17,46,79
2002-12-01,7,4,15,42,68
2003-01-01,18,9,16,38,81
2003-02-01,10,1,32,53,96
2003-03-01,17,1,42,87,147
2003-04-01,14,0,24,45,83
2003-05-01,12,1,37,36,86
2003-06-01,8,3,26,37,74
2003-07-01,18,5,23,8,54
2003-08-01,13,0,32,11,56
2003-09-01,15,1,26,7,49
2003-10-01,13,0,24,12,49
2003-11-01,6,4,15,10,35
2003-12-01,9,3,15,7,34
2004-01-01,21,1,18,18,58
2004-02-01,11,1,4,10,26
2004-03-01,21,6,21,11,59
2004-04-01,18,3,30,11,62
2004-05-01,13,6,20,6,45
2004-06-01,15,1,19,8,43
2004-07-01,17,0,20,15,52
2004-08-01,12,1,9,10,32
2004-09-01,24,3,23,6,56
2004-10-01,25,1,24,8,58
2004-11-01,16,5,29,6,56
2004-12-01,19,5,26,10,60
2005-01-01,38,1,15,10,64
2005-02-01,50,3,14,8,75
2005-03-01,54,2,18,14,88
2005-04-01,60,4,10,9,83
2005-05-01,62,1,25,5,93
2005-06-01,94,1,9,11,115
2005-07-01,74,1,35,10,120
2005-08-01,105,1,25,6,137
2005-09-01,76,3,25,13,117
2005-10-01,86,2,21,5,114
2005-11-01,49,2,21,15,87
2005-12-01,44,1,22,4,71
2006-01-01,62,2,16,10,90
2006-02-01,65,2,28,7,102
2006-03-01,75,2,26,9,112
2006-04-01,59,1,22,12,94
2006-05-01,69,2,17,14,102
2006-06-01,131,5,39,17,192
2006-07-01,117,2,31,12,162
2006-08-01,126,8,44,6,184
2006-09-01,119,6,40,54,219
2006-10-01,80,1,22,6,109
2006-11-01,96,3,28,14,141
2006-12-01,81,0,14,12,107
2007-01-01,119,2,20,13,154
2007-02-01,117,7,39,9,172
2007-03-01,166,3,52,10,231
2007-04-01,126,11,27,10,174
2007-05-01,201,3,20,14,238
2007-06-01,165,3,16,8,192
2007-07-01,145,2,56,8,211
2007-08-01,165,1,31,9,206
2007-09-01,124,7,37,7,175
2007-10-01,276,9,39,4,328
2007-11-01,521,4,37,3,565
2007-12-01,510,1,49,5,565
2008-01-01,518,2,43,8,571
2008-02-01,671,1,84,7,763
2008-03-01,605,3,35,12,655
2008-04-01,723,2,29,5,759
2008-05-01,879,0,29,4,912
2008-06-01,1172,1,54,4,1231
2008-07-01,1592,0,91,9,1692
2008-08-01,1389,4,63,3,1459
2008-09-01,1145,6,56,4,1211
2008-10-01,1170,2,45,3,1220
2008-11-01,1254,4,44,0,1302
2008-12-01,940,1,48,4,993
2009-01-01,965,1,41,2,1009
2009-02-01,831,5,43,5,884
2009-03-01,660,4,48,8,720
2009-04-01,616,1,45,2,664
2009-05-01,514,2,23,2,541
2009-06-01,493,5,23,2,523
2009-07-01,536,2,45,0,583
2009-08-01,424,2,28,4,458
2009-09-01,445,7,43,0,495
2009-10-01,571,2,34,3,610
2009-11-01,441,2,39,5,487
2009-12-01,370,7,24,2,403
2010-01-01,357,4,17,7,385
2010-02-01,342,11,18,3,374
2010-03-01,398,1,33,10,442
2010-04-01,344,0,22,9,375
2010-05-01,302,2,20,13,337
2010-06-01,369,0,42,6,417
2010-07-01,386,5,32,10,433
2010-08-01,323,5,45,5,378
2010-09-01,281,0,46,7,334
2010-10-01,294,1,34,9,338
2010-11-01,367,3,31,12,413
2010-12-01,306,0,64,28,398
2011-01-01,317,1,70,49,437
2011-02-01,890,6,169,49,1114
2011-03-01,373,4,81,45,503
2011-04-01,430,4,62,6,502
2011-06-01,453,2,75,8,538
2011-07-01,415,2,61,11,489
2011-08-01,417,4,66,11,498
2011-09-01,499,2,42,6,549
2011-10-01,572,2,47,7,628
2011-11-01,745,5,67,7,824
2011-12-01,794,1,55,9,859
2012-01-01,560,1,92,10,663
2012-02-01,635,5,68,11,719
2012-03-01,627,2,118,14,761
2012-04-01,417,1,17,7,442
2012-05-01,380,1,30,10,421
2012-06-01,435,3,50,9,497
2012-07-01,377,1,56,6,440
2012-08-01,320,5,43,8,376
2012-09-01,192,1,33,34,260
2012-10-01,203,3,22,14,242
2012-11-01,319,2,24,8,353
2012-12-01,247,1,29,11,288
2013-01-01,209,2,28,9,248
2013-02-01,201,4,22,9,236
2013-03-01,168,3,34,13,218
2013-04-01,125,1,73,11,210
2013-05-01,154,2,65,5,226
2013-06-01,147,5,53,6,211
2013-07-01,137,6,44,9,196
2013-08-01,114,1,43,9,167
2013-09-01,170,3,36,10,219
2013-10-01,176,2,60,9,247
2013-11-01,228,0,32,7,267
2013-12-01,179,4,42,23,248
2014-01-01,175,2,47,6,230
2014-02-01,130,0,28,15,173
2014-03-01,151,2,49,17,219
2014-04-01,192,2,46,12,252
2014-05-01,124,0,53,8,185
2014-06-01,108,1,25,9,143
2014-07-01,153,1,30,9,193
2014-08-01,112,2,64,2,180
2014-09-01,97,0,65,3,165
2014-10-01,123,0,63,1,187
2014-11-01,146,1,59,3,209
2014-12-01,165,1,62,5,233
2015-01-01,93,2,76,5,176
2015-02-01,109,3,63,7,182
2015-03-01,144,1,72,5,222
2015-04-01,111,11,46,3,171
2015-05-01,85,41,59,6,191
2015-06-01,157,46,81,4,288
2015-07-01,111,173,88,8,380
2015-08-01,118,519,67,4,708
2015-09-01,124,773,63,7,967
2015-10-01,138,849,66,6,1059
2015-11-01,112,1071,56,5,1244
2015-12-01,138,1926,105,4,2173
2016-01-01,117,1712,94,6,1929
2016-02-01,119,2287,63,15,2484
2016-03-01,134,4274,82,1,4491
2016-04-01,120,2912,69,10,3111
2016-05-01,99,3805,47,12,3963
2016-06-01,147,4896,48,8,5099
2016-07-01,130,4172,52,10,4364
2016-08-01,84,3851,65,7,4007
2016-09-01,104,3998,56,4,4162
2016-10-01,142,6063,80,26,6311
2016-11-01,112,4646,108,14,4880
2016-12-01,136,4289,41,4,4470
2017-01-01,108,4351,93,10,4562
2017-02-01,75,4203,75,37,4390
2017-03-01,132,5498,137,204,5971
2017-04-01,96,4748,89,109,5042
2017-05-01,91,6716,161,55,7023
2017-06-01,136,7177,81,69,7463
2017-07-01,116,8772,73,47,9008
2017-08-01,100,8905,94,42,9141
2017-09-01,109,7415,116,76,7716
2017-10-01,160,7251,133,80,7624
2017-11-01,214,9596,96,99,10005
