Date,2W_total,3W_total,4W_total,Commercial_total,Total_EV
2001,1080,34,327,173,1614
2002,164,38,251,1960,2413
2003,153,28,312,351,844
2004,212,33,243,119,607
2005,792,22,240,110,1164
2006,1080,34,327,173,1614
2007,2635,53,423,100,3211
2008,12058,26,621,63,12768
2009,6866,40,436,35,7377
2010,4069,32,404,119,4624
2011,5905,33,795,208,6941
2012,4712,26,582,142,5462
2013,2008,33,532,120,2693
2014,1676,12,591,90,2369
2015,1440,5415,842,64,7761
2016,1444,46905,805,117,49271
2017,1526,83350,1234,921,87031
2018,17082,110179,1738,807,129806
2019,30405,133496,1725,560,166186
2020,29125,90386,4213,101,123825
2021,156331,158258,13033,2169,329791
2022,631406,350546,38253,2317,1022522
2023,860455,583712,82595,5305,1532067
2024,549848,371490,52712,6348,980398
