State/UT,Total EVCS,Fast Chargers,Slow Chargers,Data Category
Karnataka,6097,751,5346,State
Maharashtra,4166,1205,2961,State
Uttar Pradesh,2326,540,1786,State
Delhi,1967,399,1568,State
Tamil Nadu,1781,926,855,State
Rajasthan,1531,523,1008,State
Kerala,1392,553,839,State
Gujarat,1208,578,630,State
Madhya Pradesh,1147,353,794,State
Telangana,1066,548,518,State
Haryana,935,384,551,State
West Bengal,903,321,582,State
Andhra Pradesh,793,424,369,State
Punjab,717,225,492,State
Odisha,623,165,458,State
Bihar,521,172,349,State
Jharkhand,353,129,224,State
Chhattisgarh,347,124,223,State
Assam,345,96,249,State
Uttarakhand,223,84,139,State
J & K,185,61,124,State
Goa,158,94,64,State
Himachal Pradesh,137,52,85,State
